Wall time,Epoch,F1_macro_val,F1_sporulating_val,Val_loss,Train_loss,Precision_macro,Recall_macro,F1_infected_val
1769498276,1,96.23820496,97.26383972,0.09312176,0.154327527,96.87152863,95.62689209,95.21258545
1769498382,2,96.94641113,97.39073181,0.08326181,0.1049724,97.64425659,96.27002716,96.50209045
1769498484,3,97.29618073,97.75024414,0.076037951,0.092571057,97.89610291,96.71321869,96.84210968
1769498594,4,97.12421417,97.14286041,0.076639876,0.086279742,97.59036255,96.68125916,97.10556793
1769498698,5,97.22329712,97.65319824,0.074212566,0.082840152,97.27196503,97.1753006,96.79338837
1769498803,6,97.30982208,97.81830597,0.073014438,0.080367386,98.23051453,96.43183899,96.8013382
1769498911,7,97.29263306,97.58609772,0.073532529,0.078822963,97.44509125,97.18558502,96.99916077
1769499015,8,97.77367401,98.08004761,0.066864632,0.074468054,97.81672668,97.73288727,97.46730042
1769499121,9,96.69705963,97.79077911,0.086278573,0.073663332,95.2208786,98.24478912,95.60333252
1769499214,10,97.38488007,97.48223877,0.073184602,0.071890041,96.70430756,98.07815552,97.28752136
1769499309,11,97.15504456,97.05506134,0.072170012,0.069926009,96.67315674,97.68031311,97.25502777
1769499417,12,97.02812195,97.7575531,0.090572186,0.068208463,95.88391876,98.21215057,96.2986908
1769499519,13,97.4841156,97.82255554,0.068043634,0.067211576,97.30239868,97.66761017,97.14568329
1769499622,14,97.83017731,97.99671936,0.063450634,0.065567598,98.37361908,97.2928009,97.66362762
1769499728,15,97.60503387,97.85574341,0.064067058,0.065309346,98.14511871,97.09008789,97.35431671
1769499839,16,97.32131195,97.36585999,0.072817691,0.063976511,97.18795776,97.45599365,97.27677155
1769499948,17,97.40290833,97.87512207,0.068917997,0.062183179,97.51503754,97.29108429,96.93069458
1769500052,18,97.55242157,97.71986389,0.068029627,0.060489982,97.63506317,97.47144318,97.38497925
1769500150,19,97.40216827,97.54680634,0.074471183,0.059307743,97.56550598,97.26976776,97.25752258
1769500261,20,97.63570404,98.0188446,0.068607531,0.058466297,97.57580566,97.69921112,97.25256348
1769500378,21,97.87255859,98.20671844,0.062936723,0.050190225,97.91336823,97.83217621,97.53840637
1769500491,22,97.80056763,97.88892365,0.061561167,0.04827046,97.82384491,97.78235626,97.71220398
1769500593,23,97.73397064,97.75317383,0.059956461,0.048140462,98.19168854,97.28970337,97.71476746
1769500691,24,97.51980591,97.6729126,0.067932904,0.046101976,96.95485687,98.09430695,97.36668396
1769500799,25,97.7101593,97.92072296,0.063462123,0.044125721,97.69112396,97.73288727,97.49958801
1769500924,26,97.57366943,97.81972504,0.068187885,0.043672334,97.44689941,97.70128632,97.32761383
1769501039,27,97.78070068,97.65930176,0.063097291,0.043239176,98.06827545,97.50373077,97.90209961
1769501151,28,97.72439575,97.56729889,0.061957907,0.041046768,97.60445404,97.8493576,97.88149261
1769501256,29,97.74034882,97.71838379,0.065316856,0.040916085,97.92919159,97.554245,97.76231384
1769501356,30,97.84457397,97.72727203,0.061887629,0.040078141,97.82855988,97.8655014,97.96189117
1769501457,31,97.76069641,97.76191711,0.066920847,0.040409099,97.4130249,98.11217499,97.75947571
1769501574,32,97.68891907,97.68503571,0.069032677,0.037238728,97.60901642,97.76896667,97.69280243
1769501681,33,97.62834167,97.43923187,0.064778753,0.038751837,97.42867279,97.83321381,97.81745911
1769501793,34,97.94389343,97.87651062,0.065389857,0.036685482,98.236763,97.65353394,98.01127625
1769501900,35,97.9688797,98.00718689,0.066691399,0.035456534,98.61248016,97.33952332,97.93057251
1769502001,36,97.63327789,97.54680634,0.065080807,0.035148941,97.20088959,98.07781219,97.71975708
1769502112,37,97.64312744,97.52172089,0.071010537,0.033851705,97.18070984,98.1259079,97.76452637
1769502215,38,97.72179413,97.7575531,0.070353515,0.033303551,97.98406219,97.47006989,97.68603516
1769502332,39,97.78713226,97.69129181,0.069794558,0.032404792,98.84425354,96.75239563,97.88298035
1769502439,40,97.9655304,97.97253418,0.063339546,0.032647215,98.38093567,97.55458832,97.95851135
