timestamp,time_elapsed,model_type,model_timestamp,classes,imaging_date,tray,filename,conserved_identifier,USDA_number,CHUM_number_if_from_NCGR,other_name,PM,infected_threshold,healthy_threshold,sal_threshold,inf_gate,spor_th,leaf_mask_th,clear_patches,hyphal_patches,conidiophore_patches,sporulating_pct,discarded_patches,severity_rate_patch,Gradient_sr2,Gradient-SG_sr2,GradCAM_sr2
NA,0m 43s,ResNet,Jan29_22-02-46_2026,2,10-30-2023_10dpi,2,194-W2021006-134_R2,W2021006-134,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,315,200,107,17.20257234726688,28,49.36,NA,1.53,6.1
NA,0m 32s,ResNet,Jan29_22-02-46_2026,2,10-30-2023_10dpi,2,195-W2021006-134_R2,W2021006-134,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,462,58,1,0.19193857965451055,18,11.32,NA,0.36,1.58
NA,0m 36s,ResNet,Jan29_22-02-46_2026,2,10-30-2023_10dpi,2,196-W2021011-595_R2,W2021011-595,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,586,22,78,11.370262390670554,29,14.58,NA,0.41,1.62
NA,0m 39s,ResNet,Jan29_22-02-46_2026,2,10-30-2023_10dpi,2,197-W2021011-595_R2,W2021011-595,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,380,162,48,8.135593220338983,69,35.59,NA,1.06,4.11
NA,0m 54s,ResNet,Jan29_22-02-46_2026,2,10-30-2023_10dpi,2,198-W2021011-595_R2,W2021011-595,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,94,332,244,36.417910447761194,30,85.97,NA,2.71,11.26
NA,0m 33s,ResNet,Jan29_22-02-46_2026,2,10-30-2023_10dpi,2,199-W2021010-445_R2,W2021010-445,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,720,5,0,0,9,0.69,NA,0.02,0.08
NA,0m 32s,ResNet,Jan29_22-02-46_2026,2,10-30-2023_10dpi,2,200-W2021010-445_R2,W2021010-445,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,727,2,0,0,7,0.27,NA,0.01,0.03
NA,0m 33s,ResNet,Jan29_22-02-46_2026,2,10-30-2023_10dpi,2,201-W2021010-445_R2,W2021010-445,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,692,4,1,0.1434720229555237,7,0.72,NA,0.02,0.09
NA,0m 58s,ResNet,Jan29_22-02-46_2026,2,10-30-2023_10dpi,2,202-W2021009-296_R2,W2021009-296,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,32,177,505,70.72829131652661,15,95.52,NA,3.07,11.92
NA,0m 56s,ResNet,Jan29_22-02-46_2026,2,10-30-2023_10dpi,2,203-W2021009-296_R2,W2021009-296,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,48,38,623,87.87023977433005,12,93.23,NA,3.12,13.72
NA,0m 55s,ResNet,Jan29_22-02-46_2026,2,10-30-2023_10dpi,2,204-W2021009-296_R2,W2021009-296,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,58,99,523,76.91176470588236,6,91.47,NA,3.02,12.69
NA,0m 33s,ResNet,Jan29_22-02-46_2026,2,10-30-2023_10dpi,2,205-W2021009-287_R2,W2021009-287,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,536,36,3,0.5217391304347827,46,6.78,NA,0.18,0.68
NA,0m 33s,ResNet,Jan29_22-02-46_2026,2,10-30-2023_10dpi,2,206-W2021009-287_R2,W2021009-287,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,618,21,2,0.31201248049922,19,3.59,NA,0.1,0.42
NA,0m 34s,ResNet,Jan29_22-02-46_2026,2,10-30-2023_10dpi,2,207-W2021009-287_R2,W2021009-287,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,633,30,1,0.15060240963855423,47,4.67,NA,0.13,0.49
NA,0m 47s,ResNet,Jan29_22-02-46_2026,2,10-30-2023_10dpi,2,208-W2021010-439_R2,W2021010-439,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,290,320,63,9.36106983655275,42,56.91,NA,1.72,7.07
NA,0m 47s,ResNet,Jan29_22-02-46_2026,2,10-30-2023_10dpi,2,209-W2021010-439_R2,W2021010-439,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,242,311,62,10.08130081300813,83,60.65,NA,1.71,6.94
NA,0m 44s,ResNet,Jan29_22-02-46_2026,2,10-30-2023_10dpi,2,210-W2021010-439_R2,W2021010-439,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,377,274,21,3.125,49,43.9,NA,1.31,5.32
NA,0m 55s,ResNet,Jan29_22-02-46_2026,2,10-30-2023_10dpi,2,211-W2021011-598_R2,W2021011-598,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,100,177,430,60.82036775106082,37,85.86,NA,2.71,11.42
NA,0m 42s,ResNet,Jan29_22-02-46_2026,2,10-30-2023_10dpi,2,212-W2021011-598_R2,W2021011-598,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,356,234,31,4.99194847020934,42,42.67,NA,1.28,5.31
NA,0m 44s,ResNet,Jan29_22-02-46_2026,2,10-30-2023_10dpi,2,213-W2021011-598_R2,W2021011-598,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,431,208,71,10,29,39.3,NA,1.21,5.14
