timestamp,time_elapsed,model_type,model_timestamp,classes,imaging_date,tray,filename,conserved_identifier,USDA_number,CHUM_number_if_from_NCGR,other_name,PM,infected_threshold,healthy_threshold,sal_threshold,inf_gate,spor_th,leaf_mask_th,clear_patches,hyphal_patches,conidiophore_patches,sporulating_pct,discarded_patches,severity_rate_patch,Gradient_sr2,Gradient-SG_sr2,GradCAM_sr2
NA,0m 37s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,001-W2021006-099_R2,W2021006-099,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,633,5,0,0,9,0.78,0.02,0.02,0.09
NA,0m 39s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,003-W2021006-099_R2,W2021006-099,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,604,37,3,0.4658385093167702,38,6.21,0.15,0.17,0.65
NA,1m 7s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,004-W2021009-272_R2,W2021009-272,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,28,95,299,70.85308056872039,9,93.36,2.45,3.02,12.7
NA,1m 8s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,005-W2021009-272_R2,W2021009-272,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,167,101,383,58.83256528417819,33,74.35,1.99,2.31,9.78
NA,1m 27s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,006-W2021009-272_R2,W2021009-272,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,11,129,515,78.62595419847328,2,98.32,2.78,3.22,13.68
NA,0m 51s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,007-W2021011-571_R2,W2021011-571,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,480,85,93,14.133738601823708,41,27.05,0.68,0.78,3.29
NA,0m 54s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,008-W2021011-571_R2,W2021011-571,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,491,96,132,18.35883171070932,25,31.71,0.84,0.97,4.09
NA,0m 55s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,009-W2021011-571_R2,W2021011-571,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,435,136,115,16.76384839650146,46,36.59,0.93,1.06,4.57
NA,1m 22s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,010-W2021011-562_R2,W2021011-562,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,47,53,602,85.75498575498575,13,93.3,2.67,3.16,13.15
NA,0m 52s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,011-W2021011-562_R2,W2021011-562,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,394,46,172,28.104575163398692,21,35.62,0.95,1.07,4.58
NA,0m 48s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,012-W2021011-562_R2,W2021011-562,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,520,91,89,12.714285714285714,24,25.71,0.68,0.81,3.23
NA,1m 24s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,013-W2021010-424_R2,W2021010-424,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,6,11,695,97.6123595505618,1,99.16,2.91,3.39,14.99
NA,1m 19s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,014-W2021010-424_R2,W2021010-424,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,18,1,642,97.12556732223904,0,97.28,2.81,3.04,15.3
NA,1m 13s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,015-W2021010-424_R2,W2021010-424,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,55,6,542,89.88391376451078,0,90.88,2.54,2.72,13.91
NA,0m 40s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,016-W2021010-405_R2,W2021010-405,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,699,23,2,0.2762430939226519,41,3.45,0.09,0.1,0.38
NA,0m 40s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,017-W2021010-405_R2,W2021010-405,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,690,2,2,0.2881844380403458,2,0.58,0.01,0.02,0.07
NA,0m 34s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,018-W2021010-405_R2,W2021010-405,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,665,1,0,0,4,0.15,0,0,0.01
NA,0m 36s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,019-W2021006-115_R2,W2021006-115,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,632,18,12,1.812688821752266,14,4.53,0.12,0.12,0.49
NA,0m 38s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,020-W2021006-115_R2,W2021006-115,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,680,11,10,1.4265335235378032,3,3,0.08,0.09,0.37
NA,0m 39s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,021-W2021006-115_R2,W2021006-115,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,614,15,0,0,15,2.38,0.06,0.06,0.23
NA,1m 24s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,022-Nugget_R2,Nugget,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,0,16,669,97.66423357664232,0,100,2.94,3.43,14.89
NA,1m 28s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,023-Nugget_R2,Nugget,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,0,1,750,99.86684420772303,0,100,2.96,3.49,16.96
NA,1m 29s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,024-Nugget_R2,Nugget,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,23,246,444,62.272089761570825,8,96.77,2.68,3.17,13.68
NA,0m 36s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,025-21428_R2,21428,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,668,9,0,0,19,1.33,0.03,0.04,0.15
NA,0m 39s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,026-21428_R2,21428,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,600,32,0,0,53,5.06,0.11,0.14,0.57
NA,0m 36s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,027-21428_R2,21428,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,625,14,0,0,41,2.19,0.05,0.06,0.22
NA,0m 37s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,028-19040_R2,19040,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,675,1,0,0,11,0.15,0,0,0.01
NA,0m 38s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,029-19040_R2,19040,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,673,3,0,0,7,0.44,0.01,0.01,0.04
NA,0m 37s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,030-19040_R2,19040,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,696,0,0,0,12,0,0,0,0
NA,1m 18s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,031-W2021009-266_R2,W2021009-266,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,63,565,21,3.2357473035439135,28,90.29,2.31,2.7,13.33
NA,0m 45s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,032-W2021009-266_R2,W2021009-266,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,271,172,31,6.5400843881856545,61,42.83,0.95,1.1,4.36
NA,0m 40s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,033-W2021009-266_R2,W2021009-266,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,469,94,33,5.5369127516778525,44,21.31,0.51,0.58,2.44
NA,0m 37s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,034-21398_R2,21398,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,706,0,4,0.5633802816901409,2,0.56,0.02,0.02,0.08
NA,0m 36s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,035-21398_R2,21398,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,696,1,10,1.4144271570014144,4,1.56,0.04,0.05,0.2
NA,0m 36s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,036-21398_R2,21398,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,731,1,0,0,3,0.14,0,0,0.02
NA,1m 7s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,037-W2021009-265_R2,W2021009-265,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,60,344,142,26.00732600732601,22,89.01,2.21,2.56,11.91
NA,1m 16s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,038-W2021009-265_R2,W2021009-265,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,56,118,534,75.42372881355932,11,92.09,2.5,2.89,12.75
NA,1m 18s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,039-W2021009-265_R2,W2021009-265,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,7,242,438,63.75545851528385,6,98.98,2.68,3.23,13.19
NA,1m 28s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,040-W2021011-552_R2,W2021011-552,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,1,26,667,96.10951008645532,1,99.86,2.89,3.44,13.91
NA,1m 8s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,041-W2021011-552_R2,W2021011-552,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,64,82,452,75.58528428093646,16,89.3,2.41,2.91,13.03
NA,1m 16s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,042-W2021011-552_R2,W2021011-552,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,62,83,512,77.92998477929984,11,90.56,2.47,2.91,13.32
NA,1m 19s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,043-W2021009-273_R2,W2021009-273,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,1,74,573,88.42592592592592,0,99.85,2.81,3.34,14.03
NA,1m 17s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,044-W2021009-273_R2,W2021009-273,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,8,29,559,93.79194630872485,2,98.66,2.76,3.03,13.26
NA,1m 17s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,045-W2021009-273_R2,W2021009-273,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,5,62,578,89.6124031007752,2,99.22,2.8,3.2,13.99
NA,1m 1s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,046-W2021009-259_R2,W2021009-259,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,205,310,79,13.2996632996633,34,65.49,1.6,1.84,8.44
NA,0m 35s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,047-W2021009-259_R2,W2021009-259,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,602,14,1,0.1620745542949757,17,2.43,0.06,0.07,0.27
NA,0m 47s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,048-W2021009-259_R2,W2021009-259,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,410,144,70,11.21794871794872,46,34.29,0.84,0.97,3.96
NA,1m 20s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,049-W2021010-422_R2,W2021010-422,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,0,75,593,88.77245508982035,0,100,2.8,3.19,13.19
NA,1m 21s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,050-W2021010-422_R2,W2021010-422,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,1,35,678,94.9579831932773,1,99.86,2.83,3.16,13.69
NA,1m 19s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,051-W2021010-422_R2,W2021010-422,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,0,31,650,95.44787077826726,0,100,2.83,3.12,13.28
NA,1m 23s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,052-W2021009-269_R2,W2021009-269,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,5,224,509,68.97018970189703,1,99.32,2.73,3.08,13.57
NA,0m 53s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,053-W2021009-269_R2,W2021009-269,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,207,260,48,9.320388349514564,48,59.81,1.38,1.59,6.98
NA,1m 15s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,054-W2021009-269_R2,W2021009-269,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,2,364,281,43.431221020092735,7,99.69,2.72,3.16,13.77
NA,0m 47s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,055-W2021009-262_R2,W2021009-262,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,450,167,10,1.5948963317384368,38,28.23,0.66,0.81,3.38
NA,0m 43s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,056-W2021009-262_R2,W2021009-262,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,552,102,17,2.533532041728763,22,17.73,0.44,0.51,2.26
NA,0m 36s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,057-W2021009-262_R2,W2021009-262,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,515,24,3,0.5535055350553505,17,4.98,0.12,0.14,0.56
NA,0m 48s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,058-W2021009-270_R2,W2021009-270,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,237,190,25,5.530973451327434,20,47.57,1.15,1.37,6.25
NA,0m 43s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,060-W2021009-270_R2,W2021009-270,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,564,95,8,1.199400299850075,59,15.44,0.36,0.41,1.78
NA,0m 45s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,061-W2021009-254_R2,W2021009-254,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,474,133,1,0.1644736842105263,47,22.04,0.49,0.58,2.69
NA,0m 43s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,062-W2021009-254_R2,W2021009-254,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,489,134,0,0,52,21.51,0.47,0.55,2.43
NA,0m 46s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,063-W2021009-254_R2,W2021009-254,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,506,162,0,0,36,24.25,0.55,0.66,2.88
NA,1m 6s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,064-W2021009-248_R2,W2021009-248,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,229,277,212,29.526462395543177,34,68.11,1.8,2.1,8.67
NA,1m 19s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,065-W2021009-248_R2,W2021009-248,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,17,33,671,93.06518723994452,0,97.64,2.78,3.05,13.02
NA,1m 21s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,066-W2021009-248_R2,W2021009-248,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,26,279,404,56.98166431593794,7,96.33,2.65,3.04,13.03
NA,1m 22s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,067-W2021010-408_R2,W2021010-408,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,1,110,564,83.55555555555556,4,99.85,2.67,2.94,12.85
NA,1m 23s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,068-W2021010-408_R2,W2021010-408,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,5,455,230,33.33333333333333,7,99.28,2.64,3.17,13.71
NA,1m 22s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,069-W2021010-408_R2,W2021010-408,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,6,490,199,28.633093525179852,7,99.14,2.63,3.1,13.49
NA,0m 49s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,070-21399_R2,21399,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,395,187,12,2.0202020202020203,36,33.5,0.87,1.05,4.06
NA,1m 0s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,071-21399_R2,21399,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,263,249,106,17.15210355987055,44,57.44,1.47,1.71,7.11
NA,1m 10s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,072-21399_R2,21399,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,175,232,280,40.756914119359536,27,74.53,1.95,2.26,9.57
NA,0m 32s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,073-W2021010-421_R2,W2021010-421,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,699,7,0,0,11,0.99,0.02,0.02,0.11
NA,0m 33s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,074-W2021010-421_R2,W2021010-421,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,724,17,5,0.6702412868632708,29,2.95,0.07,0.09,0.31
NA,0m 35s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,075-W2021010-421_R2,W2021010-421,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,665,36,0,0,42,5.14,0.12,0.14,0.55
NA,0m 57s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,076-W2021009-253_R2,W2021009-253,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,204,212,223,34.89827856025039,17,68.08,1.82,2.14,9.48
NA,1m 5s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,077-W2021009-253_R2,W2021009-253,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,120,248,305,45.31946508172363,11,82.17,2.23,2.65,11.81
NA,1m 9s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,078-W2021009-253_R2,W2021009-253,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,81,419,177,26.14475627769572,23,88.04,2.2,2.57,12
NA,1m 14s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,079-W2021006-095_R2,W2021006-095,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,4,84,594,87.09677419354838,3,99.41,2.79,3.43,14.27
NA,1m 19s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,080-W2021006-095_R2,W2021006-095,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,3,16,716,97.41496598639456,3,99.59,2.91,3.42,13.73
NA,1m 2s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,081-W2021006-095_R2,W2021006-095,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,131,286,234,35.944700460829495,20,79.88,2.11,2.46,10.47
NA,0m 44s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,082-W2021009-263_R2,W2021009-263,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,465,176,12,1.8376722817764168,60,28.79,0.63,0.76,3.23
NA,0m 42s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,083-W2021009-263_R2,W2021009-263,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,479,140,0,0,101,22.62,0.46,0.56,2.25
NA,0m 44s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,084-W2021009-263_R2,W2021009-263,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,401,211,3,0.4878048780487805,54,34.8,0.76,0.9,3.68
NA,1m 4s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,085-W2021010-416_R2,W2021010-416,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,136,429,89,13.608562691131498,30,79.2,2.05,2.37,10.2
NA,0m 38s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,086-W2021010-416_R2,W2021010-416,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,538,84,29,4.45468509984639,25,17.36,0.43,0.5,2.14
NA,0m 47s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,087-W2021010-416_R2,W2021010-416,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,364,175,82,13.20450885668277,34,41.38,1.02,1.17,4.93
NA,1m 15s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,088-W2021006-097_R2,W2021006-097,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,1,11,654,98.1981981981982,3,99.85,2.79,3.01,13.09
NA,1m 11s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,089-W2021006-097_R2,W2021006-097,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,1,0,644,99.84496124031008,0,99.84,2.77,2.94,15.1
NA,1m 13s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,090-W2021006-097_R2,W2021006-097,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,0,0,646,100,0,100,2.84,3.08,14.83
NA,0m 33s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,091-W2021010-394_R2,W2021010-394,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,736,4,1,0.1349527665317139,1,0.67,0.02,0.02,0.11
NA,0m 30s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,092-W2021010-394_R2,W2021010-394,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,698,3,0,0,4,0.43,0.01,0.01,0.05
NA,0m 33s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,093-W2021010-394_R2,W2021010-394,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,757,10,0,0,16,1.3,0.03,0.04,0.15
NA,1m 15s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,094-W2021009-245_R2,W2021009-245,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,37,221,457,63.91608391608392,8,94.83,2.58,3.07,14.08
NA,1m 18s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,095-W2021009-245_R2,W2021009-245,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,2,4,706,99.15730337078652,0,99.72,2.95,3.51,15.54
NA,1m 5s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,096-W2021009-245_R2,W2021009-245,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,0,29,537,94.8763250883392,1,100,2.91,3.46,14.82
NA,0m 29s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,097-W2021010-413_R2,W2021010-413,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,595,5,0,0,6,0.83,0.02,0.02,0.06
NA,0m 30s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,098-W2021010-413_R2,W2021010-413,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,586,0,1,0.17035775127768313,14,0.17,0.01,0.01,0.01
NA,0m 31s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,099-W2021010-413_R2,W2021010-413,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,629,16,1,0.15479876160990713,36,2.63,0.06,0.06,0.27
NA,0m 53s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,100-W2021011-565_R2,W2021011-565,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,43,40,347,80.69767441860465,20,90,2.31,2.66,12.27
NA,0m 37s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,101-W2021011-565_R2,W2021011-565,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,513,98,21,3.3227848101265818,22,18.83,0.48,0.55,2.36
NA,1m 9s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,102-W2021011-565_R2,W2021011-565,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,37,173,433,67.34059097978226,12,94.25,2.58,2.91,13.56
NA,0m 52s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,103-W2021009-258_R2,W2021009-258,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,305,278,49,7.753164556962025,36,51.74,1.34,1.57,6.91
NA,1m 1s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,104-W2021009-258_R2,W2021009-258,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,109,425,73,12.02635914332784,27,82.04,2.05,2.41,10.64
NA,0m 57s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,105-W2021009-258_R2,W2021009-258,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,294,279,107,15.735294117647058,20,56.76,1.44,1.67,7.27
NA,1m 9s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,106-W2021006-105_R2,W2021006-105,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,6,19,604,96.0254372019078,1,99.05,2.9,3.26,14.81
NA,1m 18s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,107-W2021006-105_R2,W2021006-105,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,11,2,724,98.236092265943,1,98.51,2.84,3.09,15.15
NA,1m 17s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,108-W2021006-105_R2,W2021006-105,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,2,1,711,99.57983193277312,1,99.72,2.86,3.12,14.37
NA,1m 13s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,109-W2021006-102_R2,W2021006-102,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,37,40,648,89.37931034482759,5,94.9,2.73,3.28,14.15
