timestamp,time_elapsed,model_type,model_timestamp,classes,imaging_date,tray,filename,conserved_identifier,USDA_number,CHUM_number_if_from_NCGR,other_name,PM,infected_threshold,healthy_threshold,sal_threshold,inf_gate,spor_th,leaf_mask_th,clear_patches,hyphal_patches,conidiophore_patches,sporulating_pct,discarded_patches,severity_rate_patch,Gradient-SG_sr2,GradCAM_sr2,Gradient_sr2
NA,0m 35s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,001-W2021006-099_R2,W2021006-099,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,631,4,0,0,12,0.63,0.05,0.12,NA
NA,0m 38s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,003-W2021006-099_R2,W2021006-099,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,610,22,7,1.0954616588419406,43,4.54,0.31,0.97,NA
NA,0m 50s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,004-W2021009-272_R2,W2021009-272,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,30,84,297,72.26277372262774,20,92.7,8.59,23.36,NA
NA,0m 56s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,005-W2021009-272_R2,W2021009-272,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,176,98,379,58.03981623277183,31,73.05,6.86,17.52,NA
NA,1m 2s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,006-W2021009-272_R2,W2021009-272,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,10,121,518,79.81510015408321,8,98.46,9.74,25.88,NA
NA,0m 42s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,007-W2021011-571_R2,W2021011-571,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,482,65,95,14.797507788161992,57,24.92,1.81,5.99,NA
NA,0m 44s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,008-W2021011-571_R2,W2021011-571,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,493,73,138,19.602272727272727,40,29.97,2.48,7.76,NA
NA,0m 44s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,009-W2021011-571_R2,W2021011-571,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,438,105,126,18.83408071748879,63,34.53,2.72,8.61,NA
NA,1m 5s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,010-W2021011-562_R2,W2021011-562,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,50,34,610,87.89625360230548,21,92.8,9.21,26.78,NA
NA,0m 45s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,011-W2021011-562_R2,W2021011-562,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,392,28,176,29.53020134228188,37,34.23,2.89,8.65,NA
NA,0m 46s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,012-W2021011-562_R2,W2021011-562,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,521,72,96,13.933236574746008,35,24.38,2.07,6.22,NA
NA,1m 8s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,013-W2021010-424_R2,W2021010-424,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,5,7,699,98.31223628691984,2,99.3,10.4,28.86,NA
NA,1m 4s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,014-W2021010-424_R2,W2021010-424,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,16,0,645,97.57942511346444,0,97.58,9.15,34.73,NA
NA,1m 0s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,015-W2021010-424_R2,W2021010-424,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,55,4,542,90.18302828618968,2,90.85,7.94,29.89,NA
NA,0m 38s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,016-W2021010-405_R2,W2021010-405,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,715,13,1,0.1371742112482853,36,1.92,0.17,0.54,NA
NA,0m 37s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,017-W2021010-405_R2,W2021010-405,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,691,0,1,0.1445086705202312,4,0.14,0.01,0.05,NA
NA,0m 38s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,018-W2021010-405_R2,W2021010-405,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,669,0,0,0,1,0,0,0,NA
NA,0m 37s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,019-W2021006-115_R2,W2021006-115,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,636,14,13,1.96078431372549,13,4.07,0.3,1,NA
NA,0m 37s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,020-W2021006-115_R2,W2021006-115,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,683,9,11,1.5647226173541962,1,2.84,0.23,0.73,NA
NA,0m 35s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,021-W2021006-115_R2,W2021006-115,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,632,4,0,0,8,0.63,0.04,0.15,NA
NA,1m 2s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,022-Nugget_R2,Nugget,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,0,14,671,97.95620437956204,0,100,10.26,31.05,NA
NA,1m 9s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,023-Nugget_R2,Nugget,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,0,1,750,99.86684420772303,0,100,10.77,38.89,NA
NA,1m 5s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,024-Nugget_R2,Nugget,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,28,223,454,64.39716312056738,16,96.03,8.86,28,NA
NA,0m 38s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,025-21428_R2,21428,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,678,2,0,0,16,0.29,0.03,0.07,NA
NA,0m 38s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,026-21428_R2,21428,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,638,14,0,0,33,2.15,0.15,0.63,NA
NA,0m 37s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,027-21428_R2,21428,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,647,4,1,0.15337423312883436,28,0.77,0.06,0.2,NA
NA,0m 38s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,028-19040_R2,19040,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,681,1,0,0,5,0.15,0.01,0.03,NA
NA,0m 35s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,029-19040_R2,19040,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,672,0,0,0,11,0,0,0,NA
NA,0m 37s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,030-19040_R2,19040,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,704,0,0,0,4,0,0,0,NA
NA,1m 5s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,031-W2021009-266_R2,W2021009-266,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,70,548,27,4.186046511627907,32,89.15,7.49,30.75,NA
NA,0m 42s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,032-W2021009-266_R2,W2021009-266,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,299,136,38,8.0338266384778,62,36.79,2.38,8.66,NA
NA,0m 41s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,033-W2021009-266_R2,W2021009-266,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,491,67,31,5.263157894736842,51,16.64,1.32,4.28,NA
NA,0m 38s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,034-21398_R2,21398,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,707,0,4,0.5625879043600562,1,0.56,0.04,0.12,NA
NA,0m 37s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,035-21398_R2,21398,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,695,1,10,1.41643059490085,5,1.56,0.11,0.37,NA
NA,0m 38s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,036-21398_R2,21398,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,731,0,0,0,4,0,0,0,NA
NA,0m 54s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,037-W2021009-265_R2,W2021009-265,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,63,300,162,30.857142857142858,43,88,6.72,24.06,NA
NA,1m 4s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,038-W2021009-265_R2,W2021009-265,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,53,96,542,78.43704775687411,28,92.33,8.36,22.43,NA
NA,1m 4s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,039-W2021009-265_R2,W2021009-265,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,10,219,449,66.22418879056046,15,98.53,8.93,25.36,NA
NA,1m 5s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,040-W2021011-552_R2,W2021011-552,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,1,26,665,96.09826589595376,3,99.86,10.6,26.1,NA
NA,0m 56s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,041-W2021011-552_R2,W2021011-552,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,73,79,438,74.23728813559322,24,87.63,8.5,22.56,NA
NA,1m 1s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,042-W2021011-552_R2,W2021011-552,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,53,74,511,80.09404388714734,30,91.69,8.51,25.17,NA
NA,1m 5s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,043-W2021009-273_R2,W2021009-273,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,1,74,573,88.42592592592592,0,99.85,9.94,25.29,NA
NA,1m 0s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,044-W2021009-273_R2,W2021009-273,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,8,22,567,94.9748743718593,1,98.66,9.17,26.09,NA
NA,1m 6s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,045-W2021009-273_R2,W2021009-273,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,4,52,588,91.30434782608695,3,99.38,9.43,28.57,NA
NA,0m 51s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,046-W2021009-259_R2,W2021009-259,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,216,263,90,15.817223198594023,59,62.04,4.6,17.2,NA
NA,0m 36s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,047-W2021009-259_R2,W2021009-259,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,607,11,1,0.16155088852988692,15,1.94,0.14,0.48,NA
NA,0m 45s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,048-W2021009-259_R2,W2021009-259,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,438,99,77,12.54071661237785,56,28.66,2.17,7,NA
NA,1m 6s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,049-W2021010-422_R2,W2021010-422,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,0,67,601,89.97005988023952,0,100,9.02,28.41,NA
NA,1m 11s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,050-W2021010-422_R2,W2021010-422,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,2,30,682,95.51820728291317,1,99.72,9.13,31.29,NA
NA,1m 5s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,051-W2021010-422_R2,W2021010-422,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,0,24,657,96.47577092511013,0,100,9.01,28.44,NA
NA,1m 6s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,052-W2021009-269_R2,W2021009-269,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,5,184,545,74.25068119891009,5,99.32,8.64,28.63,NA
NA,0m 46s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,053-W2021009-269_R2,W2021009-269,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,247,214,53,10.311284046692606,49,51.95,3.61,13.65,NA
NA,1m 4s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,054-W2021009-269_R2,W2021009-269,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,3,310,335,51.697530864197525,6,99.54,8.83,29.61,NA
NA,0m 42s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,055-W2021009-262_R2,W2021009-262,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,458,143,15,2.4350649350649354,49,25.65,1.85,6.95,NA
NA,0m 41s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,056-W2021009-262_R2,W2021009-262,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,557,81,18,2.7439024390243905,37,15.09,1.12,4.13,NA
NA,0m 35s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,057-W2021009-262_R2,W2021009-262,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,534,18,2,0.36101083032490977,5,3.61,0.26,1,NA
NA,0m 40s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,058-W2021009-270_R2,W2021009-270,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,239,167,28,6.451612903225806,38,44.93,3.5,13.43,NA
NA,0m 40s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,060-W2021009-270_R2,W2021009-270,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,577,80,9,1.351351351351351,60,13.36,0.93,3.67,NA
NA,0m 43s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,061-W2021009-254_R2,W2021009-254,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,505,106,3,0.4885993485342019,41,17.75,1.29,5.12,NA
NA,0m 41s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,062-W2021009-254_R2,W2021009-254,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,507,111,0,0,57,17.96,1.24,4.66,NA
NA,0m 43s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,063-W2021009-254_R2,W2021009-254,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,536,116,0,0,52,17.79,1.26,4.78,NA
NA,1m 1s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,064-W2021009-248_R2,W2021009-248,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,251,232,230,32.25806451612903,39,64.8,5.58,18.64,NA
NA,1m 11s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,065-W2021009-248_R2,W2021009-248,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,12,21,687,95.41666666666669,1,98.33,9.27,25.93,NA
NA,1m 6s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,066-W2021009-248_R2,W2021009-248,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,25,247,435,61.52758132956153,9,96.46,8.64,28.09,NA
NA,1m 5s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,067-W2021010-408_R2,W2021010-408,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,0,76,596,88.69047619047619,7,100,8,25.22,NA
NA,1m 7s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,068-W2021010-408_R2,W2021010-408,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,5,397,283,41.31386861313869,12,99.27,8.33,30.54,NA
NA,1m 4s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,069-W2021010-408_R2,W2021010-408,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,8,454,233,33.52517985611511,7,98.85,8.38,31.34,NA
NA,0m 41s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,070-21399_R2,21399,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,415,123,16,2.888086642599278,76,25.09,1.98,6.66,NA
NA,0m 50s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,071-21399_R2,21399,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,286,206,109,18.136439267886857,61,52.41,4.14,14.65,NA
NA,0m 57s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,072-21399_R2,21399,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,181,184,297,44.864048338368576,52,72.66,5.66,19.25,NA
NA,0m 36s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,073-W2021010-421_R2,W2021010-421,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,695,1,0,0,21,0.14,0.01,0.05,NA
NA,0m 38s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,074-W2021010-421_R2,W2021010-421,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,714,12,6,0.819672131147541,43,2.46,0.18,0.68,NA
NA,0m 37s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,075-W2021010-421_R2,W2021010-421,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,680,17,0,0,46,2.44,0.16,0.69,NA
NA,0m 52s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,076-W2021009-253_R2,W2021009-253,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,211,188,239,37.460815047021946,18,66.93,6.12,18.46,NA
NA,0m 59s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,077-W2021009-253_R2,W2021009-253,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,124,230,307,46.4447806354009,23,81.24,7.56,23.61,NA
NA,1m 1s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,078-W2021009-253_R2,W2021009-253,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,93,386,188,28.18590704647676,33,86.06,6.88,24.8,NA
NA,1m 9s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,079-W2021006-095_R2,W2021006-095,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,5,68,603,89.20118343195266,9,99.26,9.86,26.99,NA
NA,1m 13s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,080-W2021006-095_R2,W2021006-095,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,4,16,717,97.28629579375848,1,99.46,9.99,25.97,NA
NA,0m 58s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,081-W2021006-095_R2,W2021006-095,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,141,258,251,38.61538461538462,21,78.31,6.81,21.65,NA
NA,0m 43s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,082-W2021009-263_R2,W2021009-263,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,468,145,13,2.07667731629393,87,25.24,1.72,6.46,NA
NA,0m 43s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,083-W2021009-263_R2,W2021009-263,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,532,62,0,0,126,10.44,0.68,2.52,NA
NA,0m 41s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,084-W2021009-263_R2,W2021009-263,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,423,150,4,0.6932409012131715,92,26.69,1.74,6.21,NA
NA,0m 56s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,085-W2021010-416_R2,W2021010-416,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,155,396,89,13.90625,44,75.78,6.3,21.02,NA
NA,0m 40s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,086-W2021010-416_R2,W2021010-416,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,547,70,29,4.489164086687306,30,15.33,1.15,4.19,NA
NA,0m 43s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,087-W2021010-416_R2,W2021010-416,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,390,112,86,14.625850340136054,67,33.67,2.52,7.94,NA
NA,1m 9s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,088-W2021006-097_R2,W2021006-097,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,0,11,657,98.35329341317365,1,100,9.11,28.86,NA
NA,1m 9s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,089-W2021006-097_R2,W2021006-097,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,1,0,644,99.84496124031008,0,99.84,8.66,35.74,NA
NA,1m 7s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,090-W2021006-097_R2,W2021006-097,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,1,0,645,99.84520123839008,0,99.85,9.25,34.35,NA
NA,0m 38s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,091-W2021010-394_R2,W2021010-394,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,737,3,2,0.2695417789757413,0,0.67,0.05,0.18,NA
NA,0m 38s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,092-W2021010-394_R2,W2021010-394,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,691,3,4,0.5730659025787965,7,1,0.06,0.25,NA
NA,0m 38s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,093-W2021010-394_R2,W2021010-394,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,756,10,1,0.1303780964797914,16,1.43,0.1,0.35,NA
NA,1m 6s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,094-W2021009-245_R2,W2021009-245,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,42,197,469,66.24293785310734,15,94.07,8.99,27.86,NA
NA,1m 6s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,095-W2021009-245_R2,W2021009-245,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,2,1,709,99.57865168539324,0,99.72,10.96,33.54,NA
NA,0m 56s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,096-W2021009-245_R2,W2021009-245,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,1,23,539,95.73712255772648,4,99.82,10.42,29.89,NA
NA,0m 33s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,097-W2021010-413_R2,W2021010-413,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,600,1,0,0,5,0.17,0.01,0.03,NA
NA,0m 33s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,098-W2021010-413_R2,W2021010-413,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,592,0,1,0.1686340640809443,8,0.17,0.01,0.02,NA
NA,0m 36s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,099-W2021010-413_R2,W2021010-413,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,635,9,2,0.30959752321981426,36,1.7,0.1,0.34,NA
NA,0m 47s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,100-W2021011-565_R2,W2021011-565,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,60,18,353,81.90255220417633,19,86.08,7.52,23.4,NA
NA,0m 37s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,101-W2021011-565_R2,W2021011-565,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,535,70,22,3.508771929824561,27,14.67,1.18,4.06,NA
NA,1m 1s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,102-W2021011-565_R2,W2021011-565,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,45,144,440,69.9523052464229,26,92.85,8.16,26.55,NA
NA,0m 48s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,103-W2021009-258_R2,W2021009-258,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,325,255,56,8.80503144654088,32,48.9,4.19,15.05,NA
NA,0m 55s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,104-W2021009-258_R2,W2021009-258,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,116,382,102,17,34,80.67,6.34,23.42,NA
NA,0m 53s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,105-W2021009-258_R2,W2021009-258,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,291,246,128,19.24812030075188,35,56.24,4.3,15.2,NA
NA,0m 59s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,106-W2021006-105_R2,W2021006-105,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,4,15,606,96.96,5,99.36,10.06,32.99,NA
NA,1m 8s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,107-W2021006-105_R2,W2021006-105,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,10,2,725,98.37177747625508,1,98.64,9.14,35.6,NA
NA,1m 4s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,108-W2021006-105_R2,W2021006-105,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,3,0,710,99.57924263674614,2,99.58,9.36,33.25,NA
NA,1m 3s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,109-W2021006-102_R2,W2021006-102,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,39,39,647,89.24137931034483,5,94.62,9.46,30.79,NA
NA,1m 1s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,110-W2021006-102_R2,W2021006-102,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,8,0,672,98.82352941176472,0,98.82,10.71,35.42,NA
