"","model","rater","n","CCC","cor","MAE","RMSE","bias"
"41","J26_05_fixed_Gradient-SG_sr2","J26-severity_rate_patch",200,0.109489484480138,0.992569708099019,24.93275,37.7740957469534,-24.93275
"42","J26_05_fixed_Gradient-SG_sr2","J26-GradCAM_union_sr",200,0.340622975146777,0.915183623589615,5.40645,11.0513048324621,-5.40645
"43","J26_05_fixed_Gradient-SG_sr2","J26-Gradient-SG_union_sr",200,0.23075385914238,0.854046978513581,7.18095,16.8456069792691,-7.18095
"44","J26_05_fixed_Gradient-SG_sr2","J26-DeepLift_union_sr",200,0.426005445657418,0.874785087397137,3.52265,8.03027592925673,-3.33545
"45","J26_05_fixed_Gradient-SG_sr2","DeepLab-Feb04_00-32-07_2026",200,0.492282038844134,0.860986148123363,3.499491,5.97473633644197,-3.458979
"46","J26_05_fixed_Gradient-SG_sr2","J26_05_fixed_Gradient-SG_sr2",200,1,1,0,0,0
"47","J26_05_fixed_Gradient-SG_sr2","J26_05_fixed_GradCAM_sr2",200,0.419515177292775,0.984761249722819,5.44015,8.44029658839072,-5.44015
"48","J26_05_fixed_Gradient-SG_sr2","J26_05_fixed_DeepLift_sr2",200,0.719001838196614,0.989610203272549,1.07205,1.77913110815364,1.07205
"49","J26_05_fixed_GradCAM_sr2","J26-severity_rate_patch",200,0.395564843055143,0.988374794111269,19.4926,29.4788130866899,-19.4926
"50","J26_05_fixed_GradCAM_sr2","J26-GradCAM_union_sr",200,0.826778605458163,0.858608023998986,3.2757,6.35383632146753,0.0336999999999999
"51","J26_05_fixed_GradCAM_sr2","J26-Gradient-SG_union_sr",200,0.627691051012939,0.768824543796874,6.0624,12.1641816000913,-1.7408
"52","J26_05_fixed_GradCAM_sr2","J26-DeepLift_union_sr",200,0.774483633209459,0.794545464235497,3.6419,6.41916676835865,2.1047
"53","J26_05_fixed_GradCAM_sr2","DeepLab-Feb04_00-32-07_2026",200,0.757536532620383,0.806555479896977,3.684826,5.81243061205895,1.981171
"54","J26_05_fixed_GradCAM_sr2","J26_05_fixed_Gradient-SG_sr2",200,0.419515177292775,0.984761249722819,5.44015,8.44029658839072,5.44015
"55","J26_05_fixed_GradCAM_sr2","J26_05_fixed_GradCAM_sr2",200,1,1,0,0,0
"56","J26_05_fixed_GradCAM_sr2","J26_05_fixed_DeepLift_sr2",200,0.200623963983215,0.975834048467929,6.5122,10.178040479385,6.5122
"57","J26_05_fixed_DeepLift_sr2","J26-severity_rate_patch",200,0.0541760293069933,0.992993467230248,26.0048,39.5163124544788,-26.0048
"58","J26_05_fixed_DeepLift_sr2","J26-GradCAM_union_sr",200,0.164350998208298,0.898287050028327,6.4785,12.6673054356481,-6.4785
"59","J26_05_fixed_DeepLift_sr2","J26-Gradient-SG_union_sr",200,0.11206984648942,0.837305037226917,8.253,18.3567531442791,-8.253
"60","J26_05_fixed_DeepLift_sr2","J26-DeepLift_union_sr",200,0.210978885814755,0.867955575456647,4.4076,9.51323951133367,-4.4075
"61","J26_05_fixed_DeepLift_sr2","DeepLab-Feb04_00-32-07_2026",200,0.237128980125164,0.844152373734227,4.531029,7.45901454147932,-4.531029
"62","J26_05_fixed_DeepLift_sr2","J26_05_fixed_Gradient-SG_sr2",200,0.719001838196614,0.989610203272549,1.07205,1.77913110815364,-1.07205
"63","J26_05_fixed_DeepLift_sr2","J26_05_fixed_GradCAM_sr2",200,0.200623963983215,0.975834048467929,6.5122,10.178040479385,-6.5122
"64","J26_05_fixed_DeepLift_sr2","J26_05_fixed_DeepLift_sr2",200,1,1,0,0,0
