filename,stem,run_time,model_type,model_timestamp,epoch,rel_th,prob_th,min_area,step,batch_size,leaf_patch_min,pred_white_pixels,leaf_pixels,total_pixels,pct_infected_of_leaf,pct_infected_of_image,mask_path
042-W2021010-429_R1.png,042-W2021010-429_R1,2026-02-05T09:30:12,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,1417247,37468520,45413508,3.7825,3.1208,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\042-W2021010-429_R1_leaf_pred.png
044-W2021009-169_R2.png,044-W2021009-169_R2,2026-02-05T09:30:12,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,252668,35043126,45413508,0.721,0.5564,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\044-W2021009-169_R2_leaf_pred.png
044-W2021009-618_R1.png,044-W2021009-618_R1,2026-02-05T09:30:12,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,440280,35150617,45413508,1.2526,0.9695,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\044-W2021009-618_R1_leaf_pred.png
047-W2021011-482_R1.png,047-W2021011-482_R1,2026-02-05T09:30:12,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,1516244,34309866,45413508,4.4193,3.3388,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\047-W2021011-482_R1_leaf_pred.png
048-W2021006-147_R1.png,048-W2021006-147_R1,2026-02-05T09:30:12,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,192945,24330416,45413508,0.793,0.4249,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\048-W2021006-147_R1_leaf_pred.png
052-W2021006-004_R2.png,052-W2021006-004_R2,2026-02-05T09:30:12,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,477211,32139632,45413508,1.4848,1.0508,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\052-W2021006-004_R2_leaf_pred.png
055-W2021010-341_R2.png,055-W2021010-341_R2,2026-02-05T09:30:12,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,537765,34718735,45413508,1.5489,1.1842,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\055-W2021010-341_R2_leaf_pred.png
055-W2021010-397_R2.png,055-W2021010-397_R2,2026-02-05T09:30:12,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,1106696,36274485,45413508,3.0509,2.4369,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\055-W2021010-397_R2_leaf_pred.png
056-W2021006-609_R1.png,056-W2021006-609_R1,2026-02-05T09:30:12,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,812507,35992690,45413508,2.2574,1.7891,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\056-W2021006-609_R1_leaf_pred.png
059-W2021010-434_R1.png,059-W2021010-434_R1,2026-02-05T09:30:12,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,626023,38545520,45413508,1.6241,1.3785,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\059-W2021010-434_R1_leaf_pred.png
