filename,run_time,model_type,model_timestamp,epoch,rel_th,prob_th,min_area,step,batch_size,leaf_patch_min,pred_white_pixels,leaf_pixels,total_pixels,pct_infected_of_leaf,pct_infected_of_image,mask_path
051-W2021010-443_R1_10dpi,2026-02-05T07:53:00,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,816454,37680792,45413508,2.1668,1.7978,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\051-W2021010-443_R1_leaf_pred.png
051-W2021011-583_R1_10dpi,2026-02-05T07:53:00,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,8577765,39090827,45413508,21.9432,18.8881,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\051-W2021011-583_R1_leaf_pred.png
051-W2021011-583_R2_10dpi,2026-02-05T07:53:00,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,2433861,39585272,45413508,6.1484,5.3593,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\051-W2021011-583_R2_leaf_pred.png
057-W2021011-504_R2_10dpi,2026-02-05T07:53:00,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,993208,35039427,45413508,2.8345,2.187,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\057-W2021011-504_R2_leaf_pred.png
061-W2021011-483_R1_10dpi,2026-02-05T07:53:00,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,3034901,36427705,45413508,8.3313,6.6828,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\061-W2021011-483_R1_leaf_pred.png
062-W2021010-432_R2_10dpi,2026-02-05T07:53:00,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,4578757,37555821,45413508,12.1919,10.0824,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\062-W2021010-432_R2_leaf_pred.png
062-W2021011-483_R2_10dpi,2026-02-05T07:53:00,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,5007743,36536742,45413508,13.706,11.027,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\062-W2021011-483_R2_leaf_pred.png
063-W2021011-594_R1_10dpi,2026-02-05T07:53:00,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,2281322,28826936,45413508,7.9139,5.0234,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\063-W2021011-594_R1_leaf_pred.png
068-W2021011-574_R2_10dpi,2026-02-05T07:53:00,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,2510864,36012251,45413508,6.9722,5.5289,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\068-W2021011-574_R2_leaf_pred.png
069-W2021011-574_R1_10dpi,2026-02-05T07:53:00,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,1006017,36100558,45413508,2.7867,2.2152,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\069-W2021011-574_R1_leaf_pred.png
